Name,Stars,Title,Date,Description
Santanu Borah,5.0,"5.0 out of 5 stars
Cheapest Apple product",N/A,"Title: iPad 9th Generation: The Affordable Powerhouse for Productivity and CreativityRating: ★★★★★The iPad 9th Generation is undoubtedly a game-changer in the realm of affordable Apple products. Boasting a wide array of features found in its more expensive counterparts, it is an ideal choice for those seeking a versatile device that enhances productivity and unleashes creativity. With the added bonus of stylus support, this iPad is a highly recommended investment for individuals across various fields.One of the standout features of the iPad 9th Generation is its compatibility with the Apple Pencil. This stylus allows for precise and fluid input, making it perfect for note-taking, sketching, and digital artwork. Whether you are a student, artist, or professional, the Apple Pencil transforms this iPad into a powerful tool for unleashing your creative potential.In terms of performance, the iPad 9th Generation impresses with its A13 Bionic chip. This processor, borrowed from the iPhone lineup, ensures smooth multitasking, lag-free app launches, and seamless navigation through various applications. Whether you're editing videos, working on complex documents, or running graphic-intensive apps, this iPad can handle it all with ease.The 10.2-inch Retina display is another standout feature that enhances the overall user experience. With its vibrant colors, sharp details, and ample screen real estate, it is a joy to consume media, browse the web, or work on projects. The True Tone technology adjusts the display's color temperature according to the ambient lighting, resulting in a more comfortable viewing experience.The iPad 9th Generation runs on iPadOS, a robust operating system that provides a familiar and intuitive interface. It supports advanced multitasking features, allowing you to effortlessly switch between apps, use multiple apps simultaneously, and even drag and drop files. With the inclusion of the App Store, you have access to a vast library of productivity and creativity-enhancing applications, further expanding the capabilities of this device.In terms of battery life, the iPad 9th Generation excels, providing up to 10 hours of usage on a single charge. This longevity ensures that you can work or create without interruption, making it an excellent companion for long flights, meetings, or study sessions.While the iPad 9th Generation may lack some of the premium features found in higher-end iPad models, it more than compensates with its affordability and the inclusion of the Apple Pencil support. For those who prioritize productivity and creativity on a budget, this iPad is an exceptional choice.In conclusion, the iPad 9th Generation is a highly recommended device for individuals seeking an affordable Apple product that delivers on both productivity and creativity fronts. With its powerful performance, compatibility with the Apple Pencil, and a vibrant display, it offers an exceptional user experience. Whether you're a student, professional, or artist, this iPad is an excellent investment that won't break the bank."
SUMAN,5.0,"5.0 out of 5 stars
Best Tablet for Students",N/A,"If u are thinking of buying a tablet for studying under 30k segment, this the tablet to go for.✒️ Although the display is non-laminated, it doesn't affect the quality of the display. Neither it degrades the sharpness of it. The only problem due to this may arise only for artists who want to draw or paint in iPad.✒️ The true tone feature is really useful for reading texts as it automatically adjusts screen colour according to the surrounding light availability.✒️ Battery life is just excellent. I do not play games and the Screen on Time is almost 12-14Hours with standby of about 3days.✒️Takes about 3.5hours to charge from 20% to 100%.(20Watt Charger available in box.. such a rare feature nowadays😂)✒️ Being an Apple device it is going to get 3 more years of updates atleast. So tension free for enough times which the Android tablets lack.✒️Last but most importantly, the performance of the iPad 9th generation is way ahead of its Android counterparts. It's animations are so smooth that it doesn't feel like a 60Hz display at all.✒️ Only disadvantage of this iPad is its speaker quality which sounds less inspite of having two speakers.OVERALL IT'S VALUE FOR MONEY.📌📌Edit on 23 September 2023👉Got iPadOS 17 update on 18th September 2023. Animations have got a bit smoother. New lockscreen edit option has been added."
Mohit,4.0,"4.0 out of 5 stars
Good under 30k!!",N/A,It is a overall good tablet under 30k and I doesn't face any problem with it. But it camera is not good if that doesn't matter for you that it the best tablet under 30k. And is also good for long term.
Sriram V.,5.0,"5.0 out of 5 stars
THE best tablet in this price range!",N/A,"For people who are casual users and consume mainly content like Hotstar, Netflix etc. with a little productive work like word,excel - my advice is simple, close your eyes and go for this tablet . You will not regret it !!For the price of around 28K there is not a single android tablet that can deliver the performance and overall excellent user experience that the IPad does.I come from the world of android - tv, mobile etc.. everything for more than a decade using android. I never used to understand what the fuss was all about Apple and it’s expensive walled garden ecosystem.Then I got a iPhone 13 and IPad. Initial days was a challenge but later simply fell in love with the entire usage experience of the ios. Everything simply works well, you don’t have to tinker or customise hundred different things. They just work and work very well! Honestly I don’t really care about customising everything including the o/s in android, never had the time or interest. I don’t want to waste time doing things in 10 ways.That’s is where ios excels. Also I have both the oneplus 7 and Samsung tabs. Never was the toggling, browsing or general icon animation this smooth like in IOS. The android tabs are the worst , within a few months irrespective of the ram, chipset etc they start lagging, choppy feel to UI .iPad is just a class apart in how the UI is experienced. Does not matter about refresh rates , RAM , snapdragon blah blah. That’s the best thing about the IPad , you don’t have to worry about the insides or tech specs other than memory, the thing just works and handles anything you throw at it. That is where the real specialty of the closed garden approach of Apple really helps.You don’t have a hundred different companies tinkering and doing hundred different software or hardware combos.Last but not the least, the battery is a beast! Daily 6 hours of screen on time and I have to charge only on the third day for the IPad.Also the display somehow looks and feels better than any android pad. That 264 poi comes into play."
Mukesh kumar,5.0,"5.0 out of 5 stars
The best useful product for students",N/A,In my study career it is my one of the best envestment.
ChaliKahani,5.0,"5.0 out of 5 stars
A very well priced product for what it is capable of.",N/A,Using it with an apple pencil and procreate with absolutely no hiccups. Works pretty good for all things considered.The pro models do have their perks but this has the potency to do the job at a price thag is vedy very reasonable.
Sameer S.,5.0,"5.0 out of 5 stars
Great product and a good gift",N/A,"It is a gift that I got for my mother and I am not an IOS user. Her primary use for it is family connection and browsing, so no high end use. However, the product does make a great gift and is one of the most affordable  models which is currently under production and therefore you can expect a support for next 3 years or so at the very least. I personally love the screen quality and touch sensitivity. The default settings are great. Import data from icloud backup was effortless. Default home screen layout is absolutely intuitive. Overall I am very happy with the product and is perfect set up at 64GB if you are not the heave end user. I opted for WiFi only as I do not expect to not have a mobile hotspot or WiFi home network and therefore SIM option is not really needed for me. However, that is a personal choice depending on whether the iPad is being used as a primary device for communication."
Sayed Azaaruddeen,5.0,"5.0 out of 5 stars
The Beast - IPAD",N/A,Ipad is very smooth and Fast As expected from AppleHelping me to do my Day to day task and as well Enjoying Games on Large Gigantic DisplayOfcourse Its IOS the Speed is Spectacular As usual😍
Sasangka,4.0,"4.0 out of 5 stars
Average",N/A,Just average
shoiab alam,4.0,"4.0 out of 5 stars
Smooth functioning .",N/A,Works good . Been using it for attending online classes and it delivers just right. If the sim slot variant could've been a little affordable I would've gotten that but the price was 15 k more than this one .
Santanu Borah,5.0,"5.0 out of 5 stars
Cheapest Apple product",N/A,"Title: iPad 9th Generation: The Affordable Powerhouse for Productivity and CreativityRating: ★★★★★The iPad 9th Generation is undoubtedly a game-changer in the realm of affordable Apple products. Boasting a wide array of features found in its more expensive counterparts, it is an ideal choice for those seeking a versatile device that enhances productivity and unleashes creativity. With the added bonus of stylus support, this iPad is a highly recommended investment for individuals across various fields.One of the standout features of the iPad 9th Generation is its compatibility with the Apple Pencil. This stylus allows for precise and fluid input, making it perfect for note-taking, sketching, and digital artwork. Whether you are a student, artist, or professional, the Apple Pencil transforms this iPad into a powerful tool for unleashing your creative potential.In terms of performance, the iPad 9th Generation impresses with its A13 Bionic chip. This processor, borrowed from the iPhone lineup, ensures smooth multitasking, lag-free app launches, and seamless navigation through various applications. Whether you're editing videos, working on complex documents, or running graphic-intensive apps, this iPad can handle it all with ease.The 10.2-inch Retina display is another standout feature that enhances the overall user experience. With its vibrant colors, sharp details, and ample screen real estate, it is a joy to consume media, browse the web, or work on projects. The True Tone technology adjusts the display's color temperature according to the ambient lighting, resulting in a more comfortable viewing experience.The iPad 9th Generation runs on iPadOS, a robust operating system that provides a familiar and intuitive interface. It supports advanced multitasking features, allowing you to effortlessly switch between apps, use multiple apps simultaneously, and even drag and drop files. With the inclusion of the App Store, you have access to a vast library of productivity and creativity-enhancing applications, further expanding the capabilities of this device.In terms of battery life, the iPad 9th Generation excels, providing up to 10 hours of usage on a single charge. This longevity ensures that you can work or create without interruption, making it an excellent companion for long flights, meetings, or study sessions.While the iPad 9th Generation may lack some of the premium features found in higher-end iPad models, it more than compensates with its affordability and the inclusion of the Apple Pencil support. For those who prioritize productivity and creativity on a budget, this iPad is an exceptional choice.In conclusion, the iPad 9th Generation is a highly recommended device for individuals seeking an affordable Apple product that delivers on both productivity and creativity fronts. With its powerful performance, compatibility with the Apple Pencil, and a vibrant display, it offers an exceptional user experience. Whether you're a student, professional, or artist, this iPad is an excellent investment that won't break the bank."
SUMAN,5.0,"5.0 out of 5 stars
Best Tablet for Students",N/A,"If u are thinking of buying a tablet for studying under 30k segment, this the tablet to go for.✒️ Although the display is non-laminated, it doesn't affect the quality of the display. Neither it degrades the sharpness of it. The only problem due to this may arise only for artists who want to draw or paint in iPad.✒️ The true tone feature is really useful for reading texts as it automatically adjusts screen colour according to the surrounding light availability.✒️ Battery life is just excellent. I do not play games and the Screen on Time is almost 12-14Hours with standby of about 3days.✒️Takes about 3.5hours to charge from 20% to 100%.(20Watt Charger available in box.. such a rare feature nowadays😂)✒️ Being an Apple device it is going to get 3 more years of updates atleast. So tension free for enough times which the Android tablets lack.✒️Last but most importantly, the performance of the iPad 9th generation is way ahead of its Android counterparts. It's animations are so smooth that it doesn't feel like a 60Hz display at all.✒️ Only disadvantage of this iPad is its speaker quality which sounds less inspite of having two speakers.OVERALL IT'S VALUE FOR MONEY.📌📌Edit on 23 September 2023👉Got iPadOS 17 update on 18th September 2023. Animations have got a bit smoother. New lockscreen edit option has been added."
Mohit,4.0,"4.0 out of 5 stars
Good under 30k!!",N/A,It is a overall good tablet under 30k and I doesn't face any problem with it. But it camera is not good if that doesn't matter for you that it the best tablet under 30k. And is also good for long term.
Sriram V.,5.0,"5.0 out of 5 stars
THE best tablet in this price range!",N/A,"For people who are casual users and consume mainly content like Hotstar, Netflix etc. with a little productive work like word,excel - my advice is simple, close your eyes and go for this tablet . You will not regret it !!For the price of around 28K there is not a single android tablet that can deliver the performance and overall excellent user experience that the IPad does.I come from the world of android - tv, mobile etc.. everything for more than a decade using android. I never used to understand what the fuss was all about Apple and it’s expensive walled garden ecosystem.Then I got a iPhone 13 and IPad. Initial days was a challenge but later simply fell in love with the entire usage experience of the ios. Everything simply works well, you don’t have to tinker or customise hundred different things. They just work and work very well! Honestly I don’t really care about customising everything including the o/s in android, never had the time or interest. I don’t want to waste time doing things in 10 ways.That’s is where ios excels. Also I have both the oneplus 7 and Samsung tabs. Never was the toggling, browsing or general icon animation this smooth like in IOS. The android tabs are the worst , within a few months irrespective of the ram, chipset etc they start lagging, choppy feel to UI .iPad is just a class apart in how the UI is experienced. Does not matter about refresh rates , RAM , snapdragon blah blah. That’s the best thing about the IPad , you don’t have to worry about the insides or tech specs other than memory, the thing just works and handles anything you throw at it. That is where the real specialty of the closed garden approach of Apple really helps.You don’t have a hundred different companies tinkering and doing hundred different software or hardware combos.Last but not the least, the battery is a beast! Daily 6 hours of screen on time and I have to charge only on the third day for the IPad.Also the display somehow looks and feels better than any android pad. That 264 poi comes into play."
Mukesh kumar,5.0,"5.0 out of 5 stars
The best useful product for students",N/A,In my study career it is my one of the best envestment.
ChaliKahani,5.0,"5.0 out of 5 stars
A very well priced product for what it is capable of.",N/A,Using it with an apple pencil and procreate with absolutely no hiccups. Works pretty good for all things considered.The pro models do have their perks but this has the potency to do the job at a price thag is vedy very reasonable.
Sameer S.,5.0,"5.0 out of 5 stars
Great product and a good gift",N/A,"It is a gift that I got for my mother and I am not an IOS user. Her primary use for it is family connection and browsing, so no high end use. However, the product does make a great gift and is one of the most affordable  models which is currently under production and therefore you can expect a support for next 3 years or so at the very least. I personally love the screen quality and touch sensitivity. The default settings are great. Import data from icloud backup was effortless. Default home screen layout is absolutely intuitive. Overall I am very happy with the product and is perfect set up at 64GB if you are not the heave end user. I opted for WiFi only as I do not expect to not have a mobile hotspot or WiFi home network and therefore SIM option is not really needed for me. However, that is a personal choice depending on whether the iPad is being used as a primary device for communication."
Sayed Azaaruddeen,5.0,"5.0 out of 5 stars
The Beast - IPAD",N/A,Ipad is very smooth and Fast As expected from AppleHelping me to do my Day to day task and as well Enjoying Games on Large Gigantic DisplayOfcourse Its IOS the Speed is Spectacular As usual😍
Sasangka,4.0,"4.0 out of 5 stars
Average",N/A,Just average
shoiab alam,4.0,"4.0 out of 5 stars
Smooth functioning .",N/A,Works good . Been using it for attending online classes and it delivers just right. If the sim slot variant could've been a little affordable I would've gotten that but the price was 15 k more than this one .
Santanu Borah,5.0,"5.0 out of 5 stars
Cheapest Apple product",N/A,"Title: iPad 9th Generation: The Affordable Powerhouse for Productivity and CreativityRating: ★★★★★The iPad 9th Generation is undoubtedly a game-changer in the realm of affordable Apple products. Boasting a wide array of features found in its more expensive counterparts, it is an ideal choice for those seeking a versatile device that enhances productivity and unleashes creativity. With the added bonus of stylus support, this iPad is a highly recommended investment for individuals across various fields.One of the standout features of the iPad 9th Generation is its compatibility with the Apple Pencil. This stylus allows for precise and fluid input, making it perfect for note-taking, sketching, and digital artwork. Whether you are a student, artist, or professional, the Apple Pencil transforms this iPad into a powerful tool for unleashing your creative potential.In terms of performance, the iPad 9th Generation impresses with its A13 Bionic chip. This processor, borrowed from the iPhone lineup, ensures smooth multitasking, lag-free app launches, and seamless navigation through various applications. Whether you're editing videos, working on complex documents, or running graphic-intensive apps, this iPad can handle it all with ease.The 10.2-inch Retina display is another standout feature that enhances the overall user experience. With its vibrant colors, sharp details, and ample screen real estate, it is a joy to consume media, browse the web, or work on projects. The True Tone technology adjusts the display's color temperature according to the ambient lighting, resulting in a more comfortable viewing experience.The iPad 9th Generation runs on iPadOS, a robust operating system that provides a familiar and intuitive interface. It supports advanced multitasking features, allowing you to effortlessly switch between apps, use multiple apps simultaneously, and even drag and drop files. With the inclusion of the App Store, you have access to a vast library of productivity and creativity-enhancing applications, further expanding the capabilities of this device.In terms of battery life, the iPad 9th Generation excels, providing up to 10 hours of usage on a single charge. This longevity ensures that you can work or create without interruption, making it an excellent companion for long flights, meetings, or study sessions.While the iPad 9th Generation may lack some of the premium features found in higher-end iPad models, it more than compensates with its affordability and the inclusion of the Apple Pencil support. For those who prioritize productivity and creativity on a budget, this iPad is an exceptional choice.In conclusion, the iPad 9th Generation is a highly recommended device for individuals seeking an affordable Apple product that delivers on both productivity and creativity fronts. With its powerful performance, compatibility with the Apple Pencil, and a vibrant display, it offers an exceptional user experience. Whether you're a student, professional, or artist, this iPad is an excellent investment that won't break the bank."
SUMAN,5.0,"5.0 out of 5 stars
Best Tablet for Students",N/A,"If u are thinking of buying a tablet for studying under 30k segment, this the tablet to go for.✒️ Although the display is non-laminated, it doesn't affect the quality of the display. Neither it degrades the sharpness of it. The only problem due to this may arise only for artists who want to draw or paint in iPad.✒️ The true tone feature is really useful for reading texts as it automatically adjusts screen colour according to the surrounding light availability.✒️ Battery life is just excellent. I do not play games and the Screen on Time is almost 12-14Hours with standby of about 3days.✒️Takes about 3.5hours to charge from 20% to 100%.(20Watt Charger available in box.. such a rare feature nowadays😂)✒️ Being an Apple device it is going to get 3 more years of updates atleast. So tension free for enough times which the Android tablets lack.✒️Last but most importantly, the performance of the iPad 9th generation is way ahead of its Android counterparts. It's animations are so smooth that it doesn't feel like a 60Hz display at all.✒️ Only disadvantage of this iPad is its speaker quality which sounds less inspite of having two speakers.OVERALL IT'S VALUE FOR MONEY.📌📌Edit on 23 September 2023👉Got iPadOS 17 update on 18th September 2023. Animations have got a bit smoother. New lockscreen edit option has been added."
Mohit,4.0,"4.0 out of 5 stars
Good under 30k!!",N/A,It is a overall good tablet under 30k and I doesn't face any problem with it. But it camera is not good if that doesn't matter for you that it the best tablet under 30k. And is also good for long term.
Sriram V.,5.0,"5.0 out of 5 stars
THE best tablet in this price range!",N/A,"For people who are casual users and consume mainly content like Hotstar, Netflix etc. with a little productive work like word,excel - my advice is simple, close your eyes and go for this tablet . You will not regret it !!For the price of around 28K there is not a single android tablet that can deliver the performance and overall excellent user experience that the IPad does.I come from the world of android - tv, mobile etc.. everything for more than a decade using android. I never used to understand what the fuss was all about Apple and it’s expensive walled garden ecosystem.Then I got a iPhone 13 and IPad. Initial days was a challenge but later simply fell in love with the entire usage experience of the ios. Everything simply works well, you don’t have to tinker or customise hundred different things. They just work and work very well! Honestly I don’t really care about customising everything including the o/s in android, never had the time or interest. I don’t want to waste time doing things in 10 ways.That’s is where ios excels. Also I have both the oneplus 7 and Samsung tabs. Never was the toggling, browsing or general icon animation this smooth like in IOS. The android tabs are the worst , within a few months irrespective of the ram, chipset etc they start lagging, choppy feel to UI .iPad is just a class apart in how the UI is experienced. Does not matter about refresh rates , RAM , snapdragon blah blah. That’s the best thing about the IPad , you don’t have to worry about the insides or tech specs other than memory, the thing just works and handles anything you throw at it. That is where the real specialty of the closed garden approach of Apple really helps.You don’t have a hundred different companies tinkering and doing hundred different software or hardware combos.Last but not the least, the battery is a beast! Daily 6 hours of screen on time and I have to charge only on the third day for the IPad.Also the display somehow looks and feels better than any android pad. That 264 poi comes into play."
Mukesh kumar,5.0,"5.0 out of 5 stars
The best useful product for students",N/A,In my study career it is my one of the best envestment.
ChaliKahani,5.0,"5.0 out of 5 stars
A very well priced product for what it is capable of.",N/A,Using it with an apple pencil and procreate with absolutely no hiccups. Works pretty good for all things considered.The pro models do have their perks but this has the potency to do the job at a price thag is vedy very reasonable.
Sameer S.,5.0,"5.0 out of 5 stars
Great product and a good gift",N/A,"It is a gift that I got for my mother and I am not an IOS user. Her primary use for it is family connection and browsing, so no high end use. However, the product does make a great gift and is one of the most affordable  models which is currently under production and therefore you can expect a support for next 3 years or so at the very least. I personally love the screen quality and touch sensitivity. The default settings are great. Import data from icloud backup was effortless. Default home screen layout is absolutely intuitive. Overall I am very happy with the product and is perfect set up at 64GB if you are not the heave end user. I opted for WiFi only as I do not expect to not have a mobile hotspot or WiFi home network and therefore SIM option is not really needed for me. However, that is a personal choice depending on whether the iPad is being used as a primary device for communication."
Sayed Azaaruddeen,5.0,"5.0 out of 5 stars
The Beast - IPAD",N/A,Ipad is very smooth and Fast As expected from AppleHelping me to do my Day to day task and as well Enjoying Games on Large Gigantic DisplayOfcourse Its IOS the Speed is Spectacular As usual😍
Sasangka,4.0,"4.0 out of 5 stars
Average",N/A,Just average
shoiab alam,4.0,"4.0 out of 5 stars
Smooth functioning .",N/A,Works good . Been using it for attending online classes and it delivers just right. If the sim slot variant could've been a little affordable I would've gotten that but the price was 15 k more than this one .
Santanu Borah,5.0,"5.0 out of 5 stars
Cheapest Apple product",N/A,"Title: iPad 9th Generation: The Affordable Powerhouse for Productivity and CreativityRating: ★★★★★The iPad 9th Generation is undoubtedly a game-changer in the realm of affordable Apple products. Boasting a wide array of features found in its more expensive counterparts, it is an ideal choice for those seeking a versatile device that enhances productivity and unleashes creativity. With the added bonus of stylus support, this iPad is a highly recommended investment for individuals across various fields.One of the standout features of the iPad 9th Generation is its compatibility with the Apple Pencil. This stylus allows for precise and fluid input, making it perfect for note-taking, sketching, and digital artwork. Whether you are a student, artist, or professional, the Apple Pencil transforms this iPad into a powerful tool for unleashing your creative potential.In terms of performance, the iPad 9th Generation impresses with its A13 Bionic chip. This processor, borrowed from the iPhone lineup, ensures smooth multitasking, lag-free app launches, and seamless navigation through various applications. Whether you're editing videos, working on complex documents, or running graphic-intensive apps, this iPad can handle it all with ease.The 10.2-inch Retina display is another standout feature that enhances the overall user experience. With its vibrant colors, sharp details, and ample screen real estate, it is a joy to consume media, browse the web, or work on projects. The True Tone technology adjusts the display's color temperature according to the ambient lighting, resulting in a more comfortable viewing experience.The iPad 9th Generation runs on iPadOS, a robust operating system that provides a familiar and intuitive interface. It supports advanced multitasking features, allowing you to effortlessly switch between apps, use multiple apps simultaneously, and even drag and drop files. With the inclusion of the App Store, you have access to a vast library of productivity and creativity-enhancing applications, further expanding the capabilities of this device.In terms of battery life, the iPad 9th Generation excels, providing up to 10 hours of usage on a single charge. This longevity ensures that you can work or create without interruption, making it an excellent companion for long flights, meetings, or study sessions.While the iPad 9th Generation may lack some of the premium features found in higher-end iPad models, it more than compensates with its affordability and the inclusion of the Apple Pencil support. For those who prioritize productivity and creativity on a budget, this iPad is an exceptional choice.In conclusion, the iPad 9th Generation is a highly recommended device for individuals seeking an affordable Apple product that delivers on both productivity and creativity fronts. With its powerful performance, compatibility with the Apple Pencil, and a vibrant display, it offers an exceptional user experience. Whether you're a student, professional, or artist, this iPad is an excellent investment that won't break the bank."
SUMAN,5.0,"5.0 out of 5 stars
Best Tablet for Students",N/A,"If u are thinking of buying a tablet for studying under 30k segment, this the tablet to go for.✒️ Although the display is non-laminated, it doesn't affect the quality of the display. Neither it degrades the sharpness of it. The only problem due to this may arise only for artists who want to draw or paint in iPad.✒️ The true tone feature is really useful for reading texts as it automatically adjusts screen colour according to the surrounding light availability.✒️ Battery life is just excellent. I do not play games and the Screen on Time is almost 12-14Hours with standby of about 3days.✒️Takes about 3.5hours to charge from 20% to 100%.(20Watt Charger available in box.. such a rare feature nowadays😂)✒️ Being an Apple device it is going to get 3 more years of updates atleast. So tension free for enough times which the Android tablets lack.✒️Last but most importantly, the performance of the iPad 9th generation is way ahead of its Android counterparts. It's animations are so smooth that it doesn't feel like a 60Hz display at all.✒️ Only disadvantage of this iPad is its speaker quality which sounds less inspite of having two speakers.OVERALL IT'S VALUE FOR MONEY.📌📌Edit on 23 September 2023👉Got iPadOS 17 update on 18th September 2023. Animations have got a bit smoother. New lockscreen edit option has been added."
Mohit,4.0,"4.0 out of 5 stars
Good under 30k!!",N/A,It is a overall good tablet under 30k and I doesn't face any problem with it. But it camera is not good if that doesn't matter for you that it the best tablet under 30k. And is also good for long term.
